equation,operand_1,operation,operand_2,answer
692-48=644,692,-,48,644
20+79=99,20,+,79,99
565+345=910,565,+,345,910
561+385=946,561,+,385,946
387-114=273,387,-,114,273
897-832=65,897,-,832,65
214+626=840,214,+,626,840
885-822=63,885,-,822,63
829-688=141,829,-,688,141
889-694=195,889,-,694,195
884+130=1014,884,+,130,1014
697-690=7,697,-,690,7
407-388=19,407,-,388,19
13+12=25,13,+,12,25
478-275=203,478,-,275,203
990-26=964,990,-,26,964
9+63=72,9,+,63,72
984-73=911,984,-,73,911
367+821=1188,367,+,821,1188
609-66=543,609,-,66,543
655-385=270,655,-,385,270
842-677=165,842,-,677,165
931-927=4,931,-,927,4
830-698=132,830,-,698,132
293+480=773,293,+,480,773
145+190=335,145,+,190,335
295-292=3,295,-,292,3
186+406=592,186,+,406,592
453-394=59,453,-,394,59
410+286=696,410,+,286,696
665-413=252,665,-,413,252
625-545=80,625,-,545,80
934+522=1456,934,+,522,1456
494-289=205,494,-,289,205
398-178=220,398,-,178,220
689+684=1373,689,+,684,1373
834-424=410,834,-,424,410
823+905=1728,823,+,905,1728
971-516=455,971,-,516,455
567+889=1456,567,+,889,1456
813-207=606,813,-,207,606
346-334=12,346,-,334,12
590-110=480,590,-,110,480
667+941=1608,667,+,941,1608
457-41=416,457,-,41,416
758-160=598,758,-,160,598
32+826=858,32,+,826,858
140-67=73,140,-,67,73
589-502=87,589,-,502,87
311+622=933,311,+,622,933
264+247=511,264,+,247,511
6+77=83,6,+,77,83
628-298=330,628,-,298,330
739-416=323,739,-,416,323
37+347=384,37,+,347,384
966-674=292,966,-,674,292
785+720=1505,785,+,720,1505
906+5=911,906,+,5,911
902-874=28,902,-,874,28
738-737=1,738,-,737,1
929-722=207,929,-,722,207
355+686=1041,355,+,686,1041
64+24=88,64,+,24,88
50+7=57,50,+,7,57
919+747=1666,919,+,747,1666
201+110=311,201,+,110,311
825-641=184,825,-,641,184
395+644=1039,395,+,644,1039
522-213=309,522,-,213,309
767-761=6,767,-,761,6
712+403=1115,712,+,403,1115
930-16=914,930,-,16,914
67+9=76,67,+,9,76
644-456=188,644,-,456,188
889-201=688,889,-,201,688
747+561=1308,747,+,561,1308
706-97=609,706,-,97,609
290-35=255,290,-,35,255
114+507=621,114,+,507,621
714-217=497,714,-,217,497
229-202=27,229,-,202,27
66-29=37,66,-,29,37
615-309=306,615,-,309,306
136+471=607,136,+,471,607
359-358=1,359,-,358,1
519+220=739,519,+,220,739
672-655=17,672,-,655,17
954-400=554,954,-,400,554
119-68=51,119,-,68,51
705-697=8,705,-,697,8
711+217=928,711,+,217,928
990+941=1931,990,+,941,1931
221+286=507,221,+,286,507
993+454=1447,993,+,454,1447
550-455=95,550,-,455,95
24+30=54,24,+,30,54
919-572=347,919,-,572,347
205-202=3,205,-,202,3
2+75=77,2,+,75,77
889-453=436,889,-,453,436
778+503=1281,778,+,503,1281
483+818=1301,483,+,818,1301
592+460=1052,592,+,460,1052
772+43=815,772,+,43,815
404-395=9,404,-,395,9
345+247=592,345,+,247,592
912-628=284,912,-,628,284
305-232=73,305,-,232,73
674-287=387,674,-,287,387
714+372=1086,714,+,372,1086
639-135=504,639,-,135,504
254-248=6,254,-,248,6
779+971=1750,779,+,971,1750
284-263=21,284,-,263,21
638-412=226,638,-,412,226
983-936=47,983,-,936,47
531-21=510,531,-,21,510
843+151=994,843,+,151,994
717-177=540,717,-,177,540
267-262=5,267,-,262,5
224-222=2,224,-,222,2
376+174=550,376,+,174,550
539+710=1249,539,+,710,1249
643+707=1350,643,+,707,1350
526+444=970,526,+,444,970
450-158=292,450,-,158,292
600-45=555,600,-,45,555
177+15=192,177,+,15,192
417-234=183,417,-,234,183
997-873=124,997,-,873,124
735-328=407,735,-,328,407
960+637=1597,960,+,637,1597
213-2=211,213,-,2,211
352+216=568,352,+,216,568
704-471=233,704,-,471,233
534-397=137,534,-,397,137
664-515=149,664,-,515,149
245-6=239,245,-,6,239
657+941=1598,657,+,941,1598
14+444=458,14,+,444,458
832-831=1,832,-,831,1
610+481=1091,610,+,481,1091
697+745=1442,697,+,745,1442
848+584=1432,848,+,584,1432
210+344=554,210,+,344,554
835-359=476,835,-,359,476
607-419=188,607,-,419,188
762-289=473,762,-,289,473
106+865=971,106,+,865,971
502-172=330,502,-,172,330
101-23=78,101,-,23,78
371+792=1163,371,+,792,1163
663+851=1514,663,+,851,1514
383-43=340,383,-,43,340
385+384=769,385,+,384,769
233+537=770,233,+,537,770
927-204=723,927,-,204,723
292-172=120,292,-,172,120
468+150=618,468,+,150,618
650+700=1350,650,+,700,1350
240+949=1189,240,+,949,1189
806-365=441,806,-,365,441
845+289=1134,845,+,289,1134
599+172=771,599,+,172,771
636-634=2,636,-,634,2
276+731=1007,276,+,731,1007
111+497=608,111,+,497,608
94+584=678,94,+,584,678
872+343=1215,872,+,343,1215
730+313=1043,730,+,313,1043
803-555=248,803,-,555,248
438-294=144,438,-,294,144
73-64=9,73,-,64,9
994-394=600,994,-,394,600
959-952=7,959,-,952,7
473+700=1173,473,+,700,1173
408+890=1298,408,+,890,1298
189+728=917,189,+,728,917
118+212=330,118,+,212,330
695-184=511,695,-,184,511
770-45=725,770,-,45,725
634-240=394,634,-,240,394
677+212=889,677,+,212,889
803+702=1505,803,+,702,1505
535+857=1392,535,+,857,1392
875-121=754,875,-,121,754
835+533=1368,835,+,533,1368
661-661=0,661,-,661,0
608-430=178,608,-,430,178
25+23=48,25,+,23,48
168-67=101,168,-,67,101
157-89=68,157,-,89,68
785+137=922,785,+,137,922
28+25=53,28,+,25,53
425-67=358,425,-,67,358
530-464=66,530,-,464,66
34+45=79,34,+,45,79
127+542=669,127,+,542,669
30+43=73,30,+,43,73
731+429=1160,731,+,429,1160
483-271=212,483,-,271,212
885-878=7,885,-,878,7
949-242=707,949,-,242,707
571+950=1521,571,+,950,1521
718-65=653,718,-,65,653
870+345=1215,870,+,345,1215
469+405=874,469,+,405,874
144+485=629,144,+,485,629
581+715=1296,581,+,715,1296
578+929=1507,578,+,929,1507
491-476=15,491,-,476,15
3+51=54,3,+,51,54
870-668=202,870,-,668,202
865-47=818,865,-,47,818
943-570=373,943,-,570,373
902-393=509,902,-,393,509
83+182=265,83,+,182,265
98+460=558,98,+,460,558
844-18=826,844,-,18,826
25+51=76,25,+,51,76
821+202=1023,821,+,202,1023
298+747=1045,298,+,747,1045
42+16=58,42,+,16,58
793-69=724,793,-,69,724
188-61=127,188,-,61,127
659+730=1389,659,+,730,1389
380+795=1175,380,+,795,1175
442-140=302,442,-,140,302
981-12=969,981,-,12,969
699-289=410,699,-,289,410
327+719=1046,327,+,719,1046
636-629=7,636,-,629,7
678-479=199,678,-,479,199
773+48=821,773,+,48,821
153-151=2,153,-,151,2
297+768=1065,297,+,768,1065
407-236=171,407,-,236,171
29+24=53,29,+,24,53
243+607=850,243,+,607,850
438+353=791,438,+,353,791
7+681=688,7,+,681,688
28+5=33,28,+,5,33
675-495=180,675,-,495,180
552+803=1355,552,+,803,1355
794-739=55,794,-,739,55
692+625=1317,692,+,625,1317
87+137=224,87,+,137,224
389+156=545,389,+,156,545
190+325=515,190,+,325,515
852-12=840,852,-,12,840
248+400=648,248,+,400,648
432+198=630,432,+,198,630
679-671=8,679,-,671,8
747+856=1603,747,+,856,1603
304-262=42,304,-,262,42
834-491=343,834,-,491,343
11+37=48,11,+,37,48
781+932=1713,781,+,932,1713
984+509=1493,984,+,509,1493
102-93=9,102,-,93,9
689-345=344,689,-,345,344
921-128=793,921,-,128,793
418-410=8,418,-,410,8
133+14=147,133,+,14,147
628-523=105,628,-,523,105
358+631=989,358,+,631,989
519-517=2,519,-,517,2
900-72=828,900,-,72,828
61+2=63,61,+,2,63
163-73=90,163,-,73,90
811-444=367,811,-,444,367
421+698=1119,421,+,698,1119
136+418=554,136,+,418,554
498-494=4,498,-,494,4
885-566=319,885,-,566,319
299-151=148,299,-,151,148
242-237=5,242,-,237,5
868-90=778,868,-,90,778
822-572=250,822,-,572,250
547+110=657,547,+,110,657
464+291=755,464,+,291,755
594-493=101,594,-,493,101
570+789=1359,570,+,789,1359
135+410=545,135,+,410,545
123+899=1022,123,+,899,1022
313-44=269,313,-,44,269
191+677=868,191,+,677,868
321+696=1017,321,+,696,1017
892-537=355,892,-,537,355
275+831=1106,275,+,831,1106
948+718=1666,948,+,718,1666
682-66=616,682,-,66,616
745-582=163,745,-,582,163
906-661=245,906,-,661,245
462+209=671,462,+,209,671
943-749=194,943,-,749,194
350+282=632,350,+,282,632
972-495=477,972,-,495,477
821-704=117,821,-,704,117
621-605=16,621,-,605,16
681+333=1014,681,+,333,1014
498+602=1100,498,+,602,1100
394-320=74,394,-,320,74
262-260=2,262,-,260,2
5+367=372,5,+,367,372
697+696=1393,697,+,696,1393
912-322=590,912,-,322,590
485+183=668,485,+,183,668
490-127=363,490,-,127,363
275+420=695,275,+,420,695
590+694=1284,590,+,694,1284
330+364=694,330,+,364,694
446-442=4,446,-,442,4
864-819=45,864,-,819,45
3+512=515,3,+,512,515
724+490=1214,724,+,490,1214
864-65=799,864,-,65,799
779-136=643,779,-,136,643
879-173=706,879,-,173,706
186+299=485,186,+,299,485
286+181=467,286,+,181,467
375-263=112,375,-,263,112
9+57=66,9,+,57,66
192-153=39,192,-,153,39
175-166=9,175,-,166,9
477+563=1040,477,+,563,1040
723+777=1500,723,+,777,1500
831-394=437,831,-,394,437
472+91=563,472,+,91,563
654-111=543,654,-,111,543
829-479=350,829,-,479,350
391+711=1102,391,+,711,1102
926-134=792,926,-,134,792
806+13=819,806,+,13,819
461+336=797,461,+,336,797
786+897=1683,786,+,897,1683
336-313=23,336,-,313,23
865+20=885,865,+,20,885
580-515=65,580,-,515,65
523+62=585,523,+,62,585
800-245=555,800,-,245,555
425-319=106,425,-,319,106
892+849=1741,892,+,849,1741
150+786=936,150,+,786,936
32+585=617,32,+,585,617
804-640=164,804,-,640,164
264+910=1174,264,+,910,1174
430+261=691,430,+,261,691
645+294=939,645,+,294,939
146+939=1085,146,+,939,1085
8+39=47,8,+,39,47
182+520=702,182,+,520,702
920-232=688,920,-,232,688
814+22=836,814,+,22,836
688-615=73,688,-,615,73
468-263=205,468,-,263,205
348-317=31,348,-,317,31
960+362=1322,960,+,362,1322
34+39=73,34,+,39,73
204+308=512,204,+,308,512
861-534=327,861,-,534,327
30+816=846,30,+,816,846
11+23=34,11,+,23,34
908-732=176,908,-,732,176
894-817=77,894,-,817,77
594-590=4,594,-,590,4
17+491=508,17,+,491,508
337+738=1075,337,+,738,1075
121+229=350,121,+,229,350
268-267=1,268,-,267,1
536+350=886,536,+,350,886
368-92=276,368,-,92,276
556+210=766,556,+,210,766
647+396=1043,647,+,396,1043
624+580=1204,624,+,580,1204
915-352=563,915,-,352,563
571-201=370,571,-,201,370
145+91=236,145,+,91,236
944+293=1237,944,+,293,1237
39+56=95,39,+,56,95
521+402=923,521,+,402,923
365-356=9,365,-,356,9
851-278=573,851,-,278,573
799+349=1148,799,+,349,1148
702-283=419,702,-,283,419
849-706=143,849,-,706,143
429+549=978,429,+,549,978
843+38=881,843,+,38,881
980+753=1733,980,+,753,1733
97-59=38,97,-,59,38
127+570=697,127,+,570,697
493-488=5,493,-,488,5
129-110=19,129,-,110,19
768-245=523,768,-,245,523
227+525=752,227,+,525,752
676-162=514,676,-,162,514
515+653=1168,515,+,653,1168
964-57=907,964,-,57,907
703-345=358,703,-,345,358
461-34=427,461,-,34,427
130-121=9,130,-,121,9
850-376=474,850,-,376,474
940+517=1457,940,+,517,1457
287-287=0,287,-,287,0
157+734=891,157,+,734,891
814-598=216,814,-,598,216
298-173=125,298,-,173,125
65+73=138,65,+,73,138
774+966=1740,774,+,966,1740
615-483=132,615,-,483,132
467-443=24,467,-,443,24
564-563=1,564,-,563,1
805-803=2,805,-,803,2
732-691=41,732,-,691,41
954-588=366,954,-,588,366
470+871=1341,470,+,871,1341
256+812=1068,256,+,812,1068
646+667=1313,646,+,667,1313
86-79=7,86,-,79,7
254-245=9,254,-,245,9
815+167=982,815,+,167,982
622-155=467,622,-,155,467
961+286=1247,961,+,286,1247
485-299=186,485,-,299,186
8+25=33,8,+,25,33
154+764=918,154,+,764,918
150-145=5,150,-,145,5
455-139=316,455,-,139,316
749-24=725,749,-,24,725
983-894=89,983,-,894,89
919+34=953,919,+,34,953
837-829=8,837,-,829,8
741+109=850,741,+,109,850
20+56=76,20,+,56,76
42+42=84,42,+,42,84
667+929=1596,667,+,929,1596
308-280=28,308,-,280,28
250-9=241,250,-,9,241
710-281=429,710,-,281,429
230+288=518,230,+,288,518
369-262=107,369,-,262,107
525+207=732,525,+,207,732
926+341=1267,926,+,341,1267
877+349=1226,877,+,349,1226
162+102=264,162,+,102,264
534+649=1183,534,+,649,1183
976-975=1,976,-,975,1
638+218=856,638,+,218,856
362-81=281,362,-,81,281
480-474=6,480,-,474,6
454-311=143,454,-,311,143
58+11=69,58,+,11,69
563-478=85,563,-,478,85
815-738=77,815,-,738,77
504-454=50,504,-,454,50
768-518=250,768,-,518,250
544+490=1034,544,+,490,1034
266-212=54,266,-,212,54
268+501=769,268,+,501,769
31+22=53,31,+,22,53
660-387=273,660,-,387,273
566-98=468,566,-,98,468
34+14=48,34,+,14,48
640-592=48,640,-,592,48
867+546=1413,867,+,546,1413
251+319=570,251,+,319,570
29+456=485,29,+,456,485
51+34=85,51,+,34,85
250+700=950,250,+,700,950
577-132=445,577,-,132,445
877-621=256,877,-,621,256
932-804=128,932,-,804,128
504+376=880,504,+,376,880
480-205=275,480,-,205,275
854-48=806,854,-,48,806
856+855=1711,856,+,855,1711
933-782=151,933,-,782,151
460+315=775,460,+,315,775
511+92=603,511,+,92,603
595-518=77,595,-,518,77
765+536=1301,765,+,536,1301
6-1=5,6,-,1,5
934+55=989,934,+,55,989
881+540=1421,881,+,540,1421
253-155=98,253,-,155,98
117+184=301,117,+,184,301
501-416=85,501,-,416,85
724-724=0,724,-,724,0
415+609=1024,415,+,609,1024
817-48=769,817,-,48,769
540+19=559,540,+,19,559
862+939=1801,862,+,939,1801
925-266=659,925,-,266,659
566-564=2,566,-,564,2
95-95=0,95,-,95,0
917+44=961,917,+,44,961
248-199=49,248,-,199,49
315-306=9,315,-,306,9
290+149=439,290,+,149,439
865+310=1175,865,+,310,1175
397+761=1158,397,+,761,1158
462+766=1228,462,+,766,1228
491+154=645,491,+,154,645
412-72=340,412,-,72,340
750-688=62,750,-,688,62
573+502=1075,573,+,502,1075
249-152=97,249,-,152,97
35+828=863,35,+,828,863
533-316=217,533,-,316,217
909-350=559,909,-,350,559
519+634=1153,519,+,634,1153
905+917=1822,905,+,917,1822
332-294=38,332,-,294,38
447+580=1027,447,+,580,1027
246+190=436,246,+,190,436
914+850=1764,914,+,850,1764
390+412=802,390,+,412,802
58+78=136,58,+,78,136
795+75=870,795,+,75,870
695-464=231,695,-,464,231
874+585=1459,874,+,585,1459
19-11=8,19,-,11,8
604-316=288,604,-,316,288
511+493=1004,511,+,493,1004
391+586=977,391,+,586,977
172+101=273,172,+,101,273
82-77=5,82,-,77,5
953-282=671,953,-,282,671
739-664=75,739,-,664,75
627+487=1114,627,+,487,1114
391+533=924,391,+,533,924
29+19=48,29,+,19,48
886+276=1162,886,+,276,1162
536+770=1306,536,+,770,1306
747-223=524,747,-,223,524
227-36=191,227,-,36,191
13+882=895,13,+,882,895
264+979=1243,264,+,979,1243
945-6=939,945,-,6,939
808-739=69,808,-,739,69
857-682=175,857,-,682,175
163-116=47,163,-,116,47
649+956=1605,649,+,956,1605
701-527=174,701,-,527,174
1+8=9,1,+,8,9
256-24=232,256,-,24,232
534-443=91,534,-,443,91
397+74=471,397,+,74,471
812+394=1206,812,+,394,1206
8+183=191,8,+,183,191
774+368=1142,774,+,368,1142
191+584=775,191,+,584,775
711-229=482,711,-,229,482
695-307=388,695,-,307,388
70+17=87,70,+,17,87
396+925=1321,396,+,925,1321
388+174=562,388,+,174,562
420+727=1147,420,+,727,1147
670-497=173,670,-,497,173
828-506=322,828,-,506,322
757-373=384,757,-,373,384
906+808=1714,906,+,808,1714
728-628=100,728,-,628,100
979-247=732,979,-,247,732
331-165=166,331,-,165,166
781-749=32,781,-,749,32
33+20=53,33,+,20,53
69-32=37,69,-,32,37
813-739=74,813,-,739,74
777+781=1558,777,+,781,1558
11+103=114,11,+,103,114
749-427=322,749,-,427,322
866+668=1534,866,+,668,1534
861-855=6,861,-,855,6
188+900=1088,188,+,900,1088
665-664=1,665,-,664,1
472+506=978,472,+,506,978
540-538=2,540,-,538,2
99+71=170,99,+,71,170
566+124=690,566,+,124,690
266+177=443,266,+,177,443
543-467=76,543,-,467,76
489-458=31,489,-,458,31
875-478=397,875,-,478,397
769-74=695,769,-,74,695
938+405=1343,938,+,405,1343
162+123=285,162,+,123,285
893+884=1777,893,+,884,1777
958+445=1403,958,+,445,1403
427+135=562,427,+,135,562
547+28=575,547,+,28,575
739+742=1481,739,+,742,1481
930+496=1426,930,+,496,1426
29-27=2,29,-,27,2
998-156=842,998,-,156,842
529-299=230,529,-,299,230
707-697=10,707,-,697,10
797-561=236,797,-,561,236
341-336=5,341,-,336,5
790-548=242,790,-,548,242
126+93=219,126,+,93,219
973-12=961,973,-,12,961
88+282=370,88,+,282,370
763+66=829,763,+,66,829
763+466=1229,763,+,466,1229
995-89=906,995,-,89,906
998-216=782,998,-,216,782
881+435=1316,881,+,435,1316
563+825=1388,563,+,825,1388
205-136=69,205,-,136,69
631+264=895,631,+,264,895
867-861=6,867,-,861,6
880-848=32,880,-,848,32
846-426=420,846,-,426,420
951-792=159,951,-,792,159
739-717=22,739,-,717,22
752-93=659,752,-,93,659
994+227=1221,994,+,227,1221
644+34=678,644,+,34,678
924-691=233,924,-,691,233
425-294=131,425,-,294,131
97+393=490,97,+,393,490
328+943=1271,328,+,943,1271
564-391=173,564,-,391,173
94+635=729,94,+,635,729
781+744=1525,781,+,744,1525
204+710=914,204,+,710,914
41+46=87,41,+,46,87
176+926=1102,176,+,926,1102
973+475=1448,973,+,475,1448
713-425=288,713,-,425,288
227+591=818,227,+,591,818
896-616=280,896,-,616,280
759+165=924,759,+,165,924
516+943=1459,516,+,943,1459
24+63=87,24,+,63,87
638-145=493,638,-,145,493
881+941=1822,881,+,941,1822
82-78=4,82,-,78,4
250+175=425,250,+,175,425
806-412=394,806,-,412,394
984-345=639,984,-,345,639
806+301=1107,806,+,301,1107
125-69=56,125,-,69,56
204+575=779,204,+,575,779
113-39=74,113,-,39,74
932-417=515,932,-,417,515
305-305=0,305,-,305,0
543+941=1484,543,+,941,1484
847-641=206,847,-,641,206
918-359=559,918,-,359,559
869-391=478,869,-,391,478
738-718=20,738,-,718,20
238+127=365,238,+,127,365
254-249=5,254,-,249,5
347+827=1174,347,+,827,1174
794-732=62,794,-,732,62
236-37=199,236,-,37,199
846-822=24,846,-,822,24
904-895=9,904,-,895,9
527-218=309,527,-,218,309
853-252=601,853,-,252,601
720-644=76,720,-,644,76
187+36=223,187,+,36,223
858-224=634,858,-,224,634
31+41=72,31,+,41,72
264+643=907,264,+,643,907
51+910=961,51,+,910,961
40+465=505,40,+,465,505
202-161=41,202,-,161,41
625-619=6,625,-,619,6
450-445=5,450,-,445,5
716-638=78,716,-,638,78
290+426=716,290,+,426,716
34+46=80,34,+,46,80
995-250=745,995,-,250,745
946+483=1429,946,+,483,1429
897-178=719,897,-,178,719
968-445=523,968,-,445,523
151+614=765,151,+,614,765
250+29=279,250,+,29,279
409-208=201,409,-,208,201
176+178=354,176,+,178,354
443+700=1143,443,+,700,1143
605-602=3,605,-,602,3
511+587=1098,511,+,587,1098
122+339=461,122,+,339,461
896+376=1272,896,+,376,1272
985+843=1828,985,+,843,1828
18+367=385,18,+,367,385
344+972=1316,344,+,972,1316
170-169=1,170,-,169,1
218+853=1071,218,+,853,1071
67+22=89,67,+,22,89
854+6=860,854,+,6,860
527+70=597,527,+,70,597
473+713=1186,473,+,713,1186
915-301=614,915,-,301,614
539+998=1537,539,+,998,1537
911-624=287,911,-,624,287
707+745=1452,707,+,745,1452
813-588=225,813,-,588,225
466-435=31,466,-,435,31
604-136=468,604,-,136,468
703+863=1566,703,+,863,1566
183+741=924,183,+,741,924
166+147=313,166,+,147,313
398-396=2,398,-,396,2
371+422=793,371,+,422,793
57+400=457,57,+,400,457
945-604=341,945,-,604,341
945-534=411,945,-,534,411
642-624=18,642,-,624,18
858-108=750,858,-,108,750
146+548=694,146,+,548,694
15+173=188,15,+,173,188
529-524=5,529,-,524,5
494+312=806,494,+,312,806
989-710=279,989,-,710,279
745-316=429,745,-,316,429
606+585=1191,606,+,585,1191
527+98=625,527,+,98,625
976+383=1359,976,+,383,1359
374+579=953,374,+,579,953
382+448=830,382,+,448,830
61+721=782,61,+,721,782
146-76=70,146,-,76,70
178-104=74,178,-,104,74
612+111=723,612,+,111,723
52+318=370,52,+,318,370
630-36=594,630,-,36,594
677+658=1335,677,+,658,1335
489+6=495,489,+,6,495
838+688=1526,838,+,688,1526
687-389=298,687,-,389,298
441+425=866,441,+,425,866
703-304=399,703,-,304,399
545+858=1403,545,+,858,1403
796-615=181,796,-,615,181
40-32=8,40,-,32,8
623-535=88,623,-,535,88
988-368=620,988,-,368,620
371+645=1016,371,+,645,1016
578-171=407,578,-,171,407
523-136=387,523,-,136,387
437-178=259,437,-,178,259
463-254=209,463,-,254,209
891+990=1881,891,+,990,1881
321+616=937,321,+,616,937
75+13=88,75,+,13,88
940-380=560,940,-,380,560
1+94=95,1,+,94,95
505-38=467,505,-,38,467
465-398=67,465,-,398,67
708-326=382,708,-,326,382
509-50=459,509,-,50,459
846+243=1089,846,+,243,1089
931-378=553,931,-,378,553
552+514=1066,552,+,514,1066
648-300=348,648,-,300,348
870-800=70,870,-,800,70
781+509=1290,781,+,509,1290
420-382=38,420,-,382,38
620+650=1270,620,+,650,1270
120-62=58,120,-,62,58
851-241=610,851,-,241,610
670+328=998,670,+,328,998
250+425=675,250,+,425,675
560+60=620,560,+,60,620
495-492=3,495,-,492,3
538-86=452,538,-,86,452
318-178=140,318,-,178,140
512-503=9,512,-,503,9
24+62=86,24,+,62,86
956+324=1280,956,+,324,1280
954-234=720,954,-,234,720
547-547=0,547,-,547,0
182+871=1053,182,+,871,1053
371-15=356,371,-,15,356
781-775=6,781,-,775,6
700+862=1562,700,+,862,1562
722+912=1634,722,+,912,1634
900-1=899,900,-,1,899
110-69=41,110,-,69,41
782-506=276,782,-,506,276
478-43=435,478,-,43,435
0+99=99,0,+,99,99
940+950=1890,940,+,950,1890
600+830=1430,600,+,830,1430
458+639=1097,458,+,639,1097
508+30=538,508,+,30,538
38+25=63,38,+,25,63
810-313=497,810,-,313,497
678-454=224,678,-,454,224
308+487=795,308,+,487,795
448-6=442,448,-,6,442
967+8=975,967,+,8,975
131+929=1060,131,+,929,1060
355-274=81,355,-,274,81
372-229=143,372,-,229,143
250+776=1026,250,+,776,1026
664+244=908,664,+,244,908
911+695=1606,911,+,695,1606
361-333=28,361,-,333,28
462-459=3,462,-,459,3
707+170=877,707,+,170,877
5+319=324,5,+,319,324
693-671=22,693,-,671,22
723+313=1036,723,+,313,1036
428+984=1412,428,+,984,1412
791+303=1094,791,+,303,1094
483-9=474,483,-,9,474
497-265=232,497,-,265,232
366+479=845,366,+,479,845
383+962=1345,383,+,962,1345
954-935=19,954,-,935,19
871-311=560,871,-,311,560
938-936=2,938,-,936,2
372-323=49,372,-,323,49
252+636=888,252,+,636,888
783+832=1615,783,+,832,1615
980-488=492,980,-,488,492
382-197=185,382,-,197,185
988-643=345,988,-,643,345
571+24=595,571,+,24,595
731-568=163,731,-,568,163
19-18=1,19,-,18,1
575-383=192,575,-,383,192
539+44=583,539,+,44,583
129-7=122,129,-,7,122
505-228=277,505,-,228,277
358-45=313,358,-,45,313
38+741=779,38,+,741,779
908-908=0,908,-,908,0
71-50=21,71,-,50,21
115+866=981,115,+,866,981
468+717=1185,468,+,717,1185
687-539=148,687,-,539,148
741-146=595,741,-,146,595
704+330=1034,704,+,330,1034
173+872=1045,173,+,872,1045
516-250=266,516,-,250,266
802-451=351,802,-,451,351
513-368=145,513,-,368,145
882+125=1007,882,+,125,1007
880-714=166,880,-,714,166
714-285=429,714,-,285,429
602+659=1261,602,+,659,1261
362+821=1183,362,+,821,1183
552+320=872,552,+,320,872
392-389=3,392,-,389,3
902+259=1161,902,+,259,1161
375-370=5,375,-,370,5
525+174=699,525,+,174,699
660-368=292,660,-,368,292
637+411=1048,637,+,411,1048
793-131=662,793,-,131,662
929+84=1013,929,+,84,1013
134+189=323,134,+,189,323
376-52=324,376,-,52,324
612-239=373,612,-,239,373
604-603=1,604,-,603,1
560+640=1200,560,+,640,1200
673-292=381,673,-,292,381
960+789=1749,960,+,789,1749
980-434=546,980,-,434,546
84-29=55,84,-,29,55
496-329=167,496,-,329,167
701-565=136,701,-,565,136
310+394=704,310,+,394,704
980-846=134,980,-,846,134
42+535=577,42,+,535,577
235-96=139,235,-,96,139
540+903=1443,540,+,903,1443
69+7=76,69,+,7,76
659+435=1094,659,+,435,1094
441+689=1130,441,+,689,1130
187-85=102,187,-,85,102
500+774=1274,500,+,774,1274
227+915=1142,227,+,915,1142
693+426=1119,693,+,426,1119
55+22=77,55,+,22,77
864-93=771,864,-,93,771
461-134=327,461,-,134,327
673+122=795,673,+,122,795
578-112=466,578,-,112,466
990+531=1521,990,+,531,1521
963-956=7,963,-,956,7
18+23=41,18,+,23,41
359+57=416,359,+,57,416
889-889=0,889,-,889,0
388+188=576,388,+,188,576
231+748=979,231,+,748,979
328+272=600,328,+,272,600
153+390=543,153,+,390,543
940-513=427,940,-,513,427
36+60=96,36,+,60,96
990+185=1175,990,+,185,1175
332+226=558,332,+,226,558
750+575=1325,750,+,575,1325
825-708=117,825,-,708,117
24+39=63,24,+,39,63
550+908=1458,550,+,908,1458
769+720=1489,769,+,720,1489
716-599=117,716,-,599,117
649-295=354,649,-,295,354
212+931=1143,212,+,931,1143
407-406=1,407,-,406,1
824+193=1017,824,+,193,1017
969-122=847,969,-,122,847
439-436=3,439,-,436,3
17+59=76,17,+,59,76
418-118=300,418,-,118,300
447-384=63,447,-,384,63
303+249=552,303,+,249,552
800-566=234,800,-,566,234
734-391=343,734,-,391,343
681+216=897,681,+,216,897
350-76=274,350,-,76,274
869+365=1234,869,+,365,1234
539-393=146,539,-,393,146
669+646=1315,669,+,646,1315
778+947=1725,778,+,947,1725
691-177=514,691,-,177,514
773-611=162,773,-,611,162
297+274=571,297,+,274,571
747+104=851,747,+,104,851
888-813=75,888,-,813,75
977-478=499,977,-,478,499
809+471=1280,809,+,471,1280
763-761=2,763,-,761,2
190-189=1,190,-,189,1
711+361=1072,711,+,361,1072
626-620=6,626,-,620,6
964+355=1319,964,+,355,1319
893-891=2,893,-,891,2
759-467=292,759,-,467,292
488-136=352,488,-,136,352
645-334=311,645,-,334,311
506+568=1074,506,+,568,1074
607-68=539,607,-,68,539
590-483=107,590,-,483,107
4+11=15,4,+,11,15
144-90=54,144,-,90,54
889-794=95,889,-,794,95
926-816=110,926,-,816,110
43+38=81,43,+,38,81
145+747=892,145,+,747,892
319-286=33,319,-,286,33
817-68=749,817,-,68,749
180-172=8,180,-,172,8
882-865=17,882,-,865,17
280-125=155,280,-,125,155
824+768=1592,824,+,768,1592
524-430=94,524,-,430,94
815-21=794,815,-,21,794
901+882=1783,901,+,882,1783
512+993=1505,512,+,993,1505
728-36=692,728,-,36,692
735-245=490,735,-,245,490
775-667=108,775,-,667,108
730+581=1311,730,+,581,1311
968-368=600,968,-,368,600
475+21=496,475,+,21,496
60+23=83,60,+,23,83
21+28=49,21,+,28,49
73+335=408,73,+,335,408
626-333=293,626,-,333,293
